model,layer,heads,rank_ratio,rank,L,M,topk,method,seed_or_aggregate,source_run,artifact_dir,reused_or_fresh,S3_test_nll,S3_test_ppl,S3_test_teacher_kl,S3_test_nll_mean,S3_test_nll_std,S3_test_ppl_mean,S3_test_ppl_std,S3_test_teacher_kl_mean,S3_test_teacher_kl_std,delta_vs_dense_nll,delta_vs_dense_ppl,delta_vs_pca_nll,delta_vs_pca_ppl
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,,,dense,aggregate,results/multi_head_replication_distilgpt2_layer3_all_heads_round1,D:/ai_workspace/projects/RPE-Act-Comp/results/multi_head_replication_distilgpt2_layer3_all_heads_round1,reused,4.596390247344971,99.12584924616756,,,,,,,,0.0,0.0,0.004605293273925781,0.45545405209780654
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,,,pca,aggregate,results/multi_head_replication_distilgpt2_layer3_all_heads_round1,D:/ai_workspace/projects/RPE-Act-Comp/results/multi_head_replication_distilgpt2_layer3_all_heads_round1,reused,4.591784954071045,98.67039519406976,0.03419758751988411,,,,,,,-0.004605293273925781,-0.45545405209780654,0.0,0.0
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,1,rpedr_full,seed0,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk1,reused,4.613770484924316,100.8637387755854,0.06318110227584839,,,,,,,0.017380237579345703,1.737889529417842,0.021985530853271484,2.1933435815156486
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,1,rpedr_full,seed1,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk1,reused,4.628425598144531,102.35279276401232,0.0640784204006195,,,,,,,0.03203535079956055,3.2269435178447594,0.03664064407348633,3.682397569942566
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,1,rpedr_full,seed2,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk1,reused,4.625720977783203,102.07634133326773,0.06256183981895447,,,,,,,0.029330730438232422,2.950492087100173,0.0339360237121582,3.4059461391979795
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,1,rpedr_full,aggregate,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk1,reused,,,,4.622639020284017,0.006367465869267066,101.76429095762182,0.6467106631861964,0.06327378749847412,0.0006226005022167121,0.026248772939045928,2.638441711454263,0.03085406621297171,3.0938957635520694
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,2,rpedr_full,seed0,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk2,reused,4.625564098358154,102.06032891157088,0.05996323749423027,,,,,,,0.029173851013183594,2.934479665403316,0.033779144287109375,3.3899337175011226
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,2,rpedr_full,seed1,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk2,reused,4.617858409881592,101.27690609373167,0.057408012449741364,,,,,,,0.021468162536621094,2.1510568475641065,0.026073455810546875,2.606510899661913
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,2,rpedr_full,seed2,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk2,reused,4.62680196762085,102.18674448250346,0.061342425644397736,,,,,,,0.030411720275878906,3.060895236335895,0.03501701354980469,3.5163492884337018
distilgpt2,3,"0,1,2,3,4,5,6,7,8,9,10,11",0.5,32,256,16,2,rpedr_full,aggregate,results/all_head_m_topk_diagnosis_layer3,results/all_head_m_topk_diagnosis_layer3/cells/M16_topk2,reused,,,,4.623408158620198,0.003956670601581759,101.84132649593533,0.4024284756006245,0.05957122519612312,0.0016299605369398723,0.02701791127522757,2.7154772497677726,0.03162320454915335,3.170931301865579
