round,heads,method,seed,nll,ppl,teacher_kl,delta_nll_vs_dense,delta_ppl_vs_dense,delta_nll_vs_pca,delta_ppl_vs_pca,delta_kl_vs_pca
round1,"0,1,2",dense,,4.596390247344971,99.12584924616756,,0.0,0.0,-0.0011382102966308594,-0.1128902965355536,
round1,"0,1,2",pca,,4.597528457641602,99.23873954270312,0.005978166591376066,0.0011382102966308594,0.1128902965355536,0.0,0.0,0.0
round1,"0,1,2",rpedr_single_best,0,4.60641622543335,100.12468160749447,0.009577823802828789,0.010025978088378906,0.9988323613269046,0.008887767791748047,0.885942064791351,0.0035996572114527225
round1,"0,1,2",rpedr_single_best,1,4.607726573944092,100.2559658301855,0.010284807533025742,0.011336326599121094,1.1301165840179408,0.010198116302490234,1.0172262874823872,0.004306640941649675
round1,"0,1,2",rpedr_single_best,2,4.607726573944092,100.2559658301855,0.010284807533025742,0.011336326599121094,1.1301165840179408,0.010198116302490234,1.0172262874823872,0.004306640941649675
round1,"0,1,2",rpedr_full,0,4.594733238220215,98.96173281822772,0.009562337771058083,-0.0016570091247558594,-0.16411642793984527,-0.0027952194213867188,-0.27700672447539887,0.0035841711796820164
round1,"0,1,2",rpedr_full,1,4.593414783477783,98.83134222820857,0.008893104270100594,-0.0029754638671875,-0.2945070179589919,-0.004113674163818359,-0.4073973144945455,0.0029149376787245274
round1,"0,1,2",rpedr_full,2,4.5957183837890625,99.05927256833675,0.008530175313353539,-0.0006718635559082031,-0.06657667783080967,-0.0018100738525390625,-0.17946697436636327,0.0025520087219774723
round2,"3,4,5",dense,,4.596390247344971,99.12584924616756,,0.0,0.0,0.006382942199707031,0.6306995654731509,
round2,"3,4,5",pca,,4.590007305145264,98.49514968069441,0.008264994248747826,-0.006382942199707031,-0.6306995654731509,0.0,0.0,0.0
round2,"3,4,5",rpedr_single_best,0,4.622008800506592,101.69811830828438,0.015264495275914669,0.025618553161621094,2.572269062116817,0.032001495361328125,3.202968627589968,0.006999501027166843
round2,"3,4,5",rpedr_single_best,1,4.622008800506592,101.69811830828438,0.015264495275914669,0.025618553161621094,2.572269062116817,0.032001495361328125,3.202968627589968,0.006999501027166843
round2,"3,4,5",rpedr_single_best,2,4.622008800506592,101.69811830828438,0.015264495275914669,0.025618553161621094,2.572269062116817,0.032001495361328125,3.202968627589968,0.006999501027166843
round2,"3,4,5",rpedr_full,0,4.604475021362305,99.93050769451614,0.01268676109611988,0.008084774017333984,0.8046584483485759,0.014467716217041016,1.4353580138217268,0.004421766847372055
round2,"3,4,5",rpedr_full,1,4.602402210235596,99.72358515602701,0.013410840183496475,0.006011962890625,0.5977359098594519,0.012394905090332031,1.2284354753326028,0.00514584593474865
round2,"3,4,5",rpedr_full,2,4.6009321212768555,99.57709032116603,0.012915223836898804,0.004541873931884766,0.4512410749984639,0.010924816131591797,1.0819406404716148,0.004650229588150978
