subset_name,method,seed,model,layer,heads,rank_ratio,rank,L,M,topk,final_report_split,selected_device,S3_test_nll,S3_test_ppl,S3_test_teacher_kl,joint_spec_path,eval_path,stochastic,source_rounds_by_head,rationale
swap_out_4_for_2,dense,,distilgpt2,3,"2,3,5",1.0,64,,,,S3_test,cuda,4.596390247344971,99.12584924616756,,,results/multi_head_subset_diagnosis_layer3/evals/dense/eval.json,False,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,pca,,distilgpt2,3,"2,3,5",0.5,32,,,,S3_test,cuda,4.587263584136963,98.22527686645506,0.006927497684955597,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/pca/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/pca/eval.json,False,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_single_best,0,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.60347843170166,99.83096759232168,0.012392351403832436,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_single_best_seed0/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_single_best_seed0/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_single_best,1,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.60347843170166,99.83096759232168,0.012392351403832436,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_single_best_seed1/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_single_best_seed1/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_single_best,2,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.60347843170166,99.83096759232168,0.012392351403832436,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_single_best_seed2/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_single_best_seed2/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_full,0,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.59657096862793,99.14376501564938,0.010298540815711021,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_full_seed0/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_full_seed0/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_full,1,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.594474792480469,98.93615988473316,0.010774410329759121,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_full_seed1/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_full_seed1/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
swap_out_4_for_2,rpedr_full,2,distilgpt2,3,"2,3,5",0.5,32,256,32,2,S3_test,cuda,4.595913410186768,99.07859362542189,0.01022837869822979,results/multi_head_subset_diagnosis_layer3/joint_specs/swap_out_4_for_2/rpedr_full_seed2/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/swap_out_4_for_2/rpedr_full_seed2/eval.json,True,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""5"": ""results/multi_head_replication_distilgpt2_round2""}",Replace suspected unfavorable head 4 with round1 easy head 2.
keep_4_swap_out_5_for_2,dense,,distilgpt2,3,"2,3,4",1.0,64,,,,S3_test,cuda,4.596390247344971,99.12584924616756,,,results/multi_head_subset_diagnosis_layer3/evals/dense/eval.json,False,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""4"": ""results/multi_head_replication_distilgpt2_round2""}",Control swap that adds head 2 but keeps head 4.
keep_4_swap_out_5_for_2,pca,,distilgpt2,3,"2,3,4",0.5,32,,,,S3_test,cuda,4.598784446716309,99.36346062311793,0.004980253521353006,results/multi_head_subset_diagnosis_layer3/joint_specs/keep_4_swap_out_5_for_2/pca/compression_spec.pt,results/multi_head_subset_diagnosis_layer3/evals/keep_4_swap_out_5_for_2/pca/eval.json,False,"{""2"": ""results/multi_head_replication_distilgpt2_round1"", ""3"": ""results/multi_head_replication_distilgpt2_round2"", ""4"": ""results/multi_head_replication_distilgpt2_round2""}",Control swap that adds head 2 but keeps head 4.
